Season,Conference,W,L,OT,P,ROW,HROW,RROW,P%,G/GP,GA/GP,5-5 F/A,PP%,PK%,S/GP,SA/GP,Sc 1%,Tr 1st%,Ld 1%,Ld 2%,OS%,OSB%,FO%,Team,PGP,PW,PL,POT,PG/GP,PGA/GP,P5-5 F/A,PPP,PPK,PS/GP,PSA/GP,PSc 1%,PTr 1st%,PLd 1%,PLd 2%,POS%,POSB%,PFO%,Playoffs,StanleyCup
2008-2009,East,53,19,10,116,49,29,20,0.707,3.29,2.32,1.42,23.6,82.4,30.3,30.8,0.723,0.543,0.794,0.884,0.538,0.744,51,BOSTON,11,7,4,2,3.09,2,1.62,14,88.9,29.9,29.5,0.714,0.5,0.833,1,0.8,0.4,52,1,0
2008-2009,East,41,32,9,91,33,18,15,0.555,2.95,2.79,1.05,21,81.8,30.5,31.4,0.659,0.316,0.722,0.794,0.417,0.545,47.4,BUFFALO,,,,,,,,,,,,,,,,,,,0,0
2008-2009,West,46,30,6,98,43,26,17,0.598,3.06,3,1.04,17,83.4,32.2,29.8,0.703,0.444,0.739,0.875,0.6,0.452,51.3,CALGARY,6,2,4,1,2.67,3.5,0.92,11.1,70.8,29.3,29.2,0,0.5,0,1,0,0.4,48.4,1,0
2008-2009,East,45,30,7,97,42,24,18,0.591,2.88,2.7,1,18.7,80.4,32.6,29.5,0.641,0.465,0.655,0.861,0.519,0.607,51.3,CAROLINA,18,8,10,1,2.33,2.89,0.8,10,88.7,31.7,32.2,0.714,0.273,0.75,1,0.556,0.333,48.7,0,0
2008-2009,West,46,24,12,104,42,22,20,0.634,3.17,2.55,1.18,19.3,80.6,32.7,28.6,0.767,0.333,0.781,0.854,0.623,0.407,48.1,CHICAGO,17,9,8,2,3.18,3.18,0.91,27.9,78.5,29.8,29.9,0.5,0.556,1,1,0.545,0.5,49.3,1,0
2008-2009,West,32,45,5,69,23,14,9,0.421,2.32,3.08,0.75,15.7,79.9,28.8,29,0.581,0.275,0.652,0.909,0.394,0.404,47.8,COLORADO,,,,,,,,,,,,,,,,,,,0,0
2008-2009,West,41,31,10,92,35,22,13,0.561,2.68,2.72,1.16,12.7,82.1,28.9,27.8,0.683,0.317,0.714,0.875,0.442,0.568,51.2,COLUMBUS,4,0,4,0,1.75,4.5,0.4,23.1,68.2,27.5,35,,,,,,0,0,1,0
2008-2009,West,36,35,11,83,30,17,13,0.506,2.73,3.06,0.94,15.4,78.6,28.9,28.1,0.605,0.295,0.826,0.867,0.439,0.436,47.8,DALLAS,,,,,,,,,,,,,,,,,,,0,0
2008-2009,West,51,21,10,112,45,25,20,0.683,3.52,2.93,1.2,25.5,78.3,36.2,27.7,0.804,0.389,0.788,0.81,0.643,0.6,55.1,DETROIT,23,15,8,2,3.3,2.09,1.74,23.7,73.2,36.3,28.1,0.909,0.417,1,1,0.611,0.8,53.7,1,0
2008-2009,West,38,35,9,85,32,17,15,0.518,2.78,2.98,1.01,17,77.5,28.1,32.5,0.718,0.233,0.808,0.893,0.4,0.482,47.9,EDMONTON,,,,,,,,,,,,,,,,,,,0,0
2008-2009,East,41,30,11,93,38,21,17,0.567,2.82,2.72,1.07,16.6,82.6,29.4,34.7,0.615,0.395,0.654,0.829,0.538,0.481,47.9,FLORIDA,,,,,,,,,,,,,,,,,,,0,0
2008-2009,West,34,37,11,79,29,16,13,0.482,2.46,2.76,0.82,19.2,82.9,29.1,28.1,0.667,0.186,0.818,0.8,0.455,0.333,52,LOS ANGELES,,,,,,,,,,,,,,,,,,,0,0
2008-2009,West,40,33,9,89,35,20,15,0.543,2.61,2.4,0.91,20.1,87.6,27.5,30.7,0.692,0.302,0.778,0.933,0.576,0.409,48.5,MINNESOTA,,,,,,,,,,,,,,,,,,,0,0
2008-2009,East,41,30,11,93,34,21,13,0.567,2.95,2.93,0.96,19.2,82.4,30,31.7,0.711,0.318,0.857,0.853,0.5,0.478,50.9,MONTREAL,4,0,4,0,1.5,4.25,0.55,0,75,27.8,32.5,,,,,,0,0,1,0
2008-2009,West,40,34,8,88,34,20,14,0.537,2.52,2.78,0.94,15.7,82.5,29,29.4,0.707,0.268,0.789,0.917,0.641,0.378,52.2,NASHVILLE,,,,,,,,,,,,,,,,,,,0,0
2008-2009,East,51,27,4,106,45,25,20,0.646,2.9,2.52,1.25,18.9,79.9,32.9,29.5,0.841,0.368,0.794,0.951,0.694,0.533,51.3,NEW JERSEY,7,3,4,1,2.14,2.43,0.8,11.1,93.1,34.6,34.1,0.75,0,0.667,0.667,0.5,0.333,50.5,1,0
2008-2009,East,26,47,9,61,23,15,8,0.372,2.42,3.34,0.68,16.9,79.8,28.9,33.5,0.541,0.133,0.429,0.7,0.375,0.296,45.7,NY ISLANDERS,,,,,,,,,,,,,,,,,,,0,0
2008-2009,East,43,30,9,95,33,19,14,0.579,2.44,2.58,0.9,13.9,87.8,32.4,29.7,0.667,0.375,0.609,0.844,0.468,0.594,50.8,NY RANGERS,7,3,4,0,1.57,2.71,0.58,12.9,81.8,23.7,30.9,0.667,0.25,1,1,0,0.5,46.3,1,0
2008-2009,East,36,35,11,83,32,19,13,0.506,2.6,2.82,0.88,19.5,81.5,29.3,28.5,0.587,0.25,0.8,0.815,0.581,0.25,51.8,OTTAWA,,,,,,,,,,,,,,,,,,,0,0
2008-2009,East,44,27,11,99,40,23,17,0.604,3.17,2.83,1.01,22.5,83,29.8,32.5,0.674,0.385,0.821,0.844,0.469,0.619,48.3,PHILADELPHIA,6,2,4,1,2.67,3,0.91,13.3,87.5,32.3,33.3,0.5,0,0.333,1,0.5,0.25,44.3,1,0
2008-2009,West,36,39,7,79,33,20,13,0.482,2.5,3.04,0.84,14.5,76.8,28.1,31.6,0.583,0.326,0.762,0.931,0.591,0.37,44.8,PHOENIX,,,,,,,,,,,,,,,,,,,0,0
2008-2009,East,45,28,9,99,39,22,17,0.604,3.15,2.84,1.18,17.2,82.7,29,30.3,0.652,0.417,0.655,0.758,0.657,0.463,49.1,PITTSBURGH,24,16,8,1,3.29,2.67,1.09,20.6,83.3,32.5,29,0.714,0.6,0.667,1,0.647,0.714,48.4,1,1
2008-2009,West,53,18,11,117,47,28,19,0.713,3.06,2.43,1.09,24.2,83.3,33.2,27.2,0.783,0.472,0.828,0.868,0.642,0.72,53.8,SAN JOSE,6,2,4,0,1.67,3,0.42,16.7,78.3,38.3,26,,,,,,0.667,0,1,0
2008-2009,West,41,31,10,92,35,20,15,0.561,2.77,2.77,0.94,20.5,83.8,27.7,28.5,0.686,0.362,0.654,0.848,0.579,0.41,49.1,ST LOUIS,4,0,4,1,1.25,2.75,0.67,4.2,77.8,32.8,30,,,,,,0,0,1,0
2008-2009,East,24,40,18,66,21,11,10,0.402,2.52,3.28,0.89,17.8,78,28.5,32.9,0.441,0.188,0.44,0.68,0.357,0.26,50.2,TAMPA BAY,,,,,,,,,,,,,,,,,,,0,0
2008-2009,East,34,35,13,81,28,13,15,0.494,2.98,3.49,0.89,18.8,74.7,31.7,30.3,0.55,0.286,0.522,0.692,0.391,0.438,50.1,TORONTO,,,,,,,,,,,,,,,,,,,0,0
2008-2009,West,45,27,10,100,42,24,18,0.61,2.96,2.6,1.21,18.8,81.4,28.5,29.2,0.702,0.343,0.735,0.909,0.568,0.513,51.9,VANCOUVER,10,6,4,1,3,2.8,1,25,82.4,26.3,30.6,0.625,0.5,0.8,0.8,0.5,0.571,52.6,1,0
2008-2009,East,50,24,8,108,46,25,21,0.659,3.27,2.93,1.1,25.2,80.6,33.5,29.5,0.756,0.432,0.833,0.868,0.627,0.571,51.7,WASHINGTON,14,7,7,2,2.93,2.71,1.17,21.2,80,28.3,30.1,0.5,0.5,0.8,0.75,0.5,0.5,54.6,1,0
2009-2010,West,39,32,11,89,34,24,10,0.543,2.84,2.96,0.98,21,79.3,30.1,33.4,0.568,0.368,0.742,0.743,0.576,0.396,48.1,ANAHEIM,,,,,,,,,,,,,,,,,,,0,0
2009-2010,East,35,34,13,83,31,17,14,0.506,2.8,3.05,0.97,16.1,82.2,29.4,33.1,0.641,0.233,0.75,0.826,0.37,0.472,50.8,WINNIPEG(ATLANTA),,,,,,,,,,,,,,,,,,,0,0
2009-2010,East,39,30,13,91,29,15,14,0.555,2.39,2.33,0.95,16.6,86.4,31.7,29.8,0.7,0.262,0.731,0.786,0.532,0.345,52.6,BOSTON,13,7,6,1,2.77,2.85,0.73,24.4,90,31.8,31.5,0.6,0.5,0.75,1,0.556,0.5,54.4,1,0
2009-2010,East,45,27,10,100,41,22,19,0.61,2.82,2.45,1.1,17.6,86.6,31.6,31.4,0.756,0.341,0.778,1,0.457,0.643,48.6,BUFFALO,6,2,4,1,2.5,2.67,1.75,0,72.7,32.3,34.2,0.4,0,0.5,0.5,0,0.4,45,1,0
2009-2010,West,40,32,10,90,37,20,17,0.549,2.45,2.48,0.99,16,82.3,28.7,28.9,0.66,0.219,0.714,0.868,0.432,0.474,48,CALGARY,,,,,,,,,,,,,,,,,,,0,0
2009-2010,East,35,37,10,80,31,17,14,0.488,2.76,3.06,0.88,16.9,80.6,29.3,31.4,0.61,0.244,0.778,0.818,0.389,0.477,48.1,CAROLINA,,,,,,,,,,,,,,,,,,,0,0
2009-2010,West,52,22,8,112,43,23,20,0.683,3.2,2.48,1.2,17.7,85.3,34.1,25.1,0.714,0.462,0.714,0.897,0.629,0.667,52.4,CHICAGO,22,16,6,1,3.54,2.82,1.22,22.5,83.3,31.8,29.6,0.909,0.545,1,0.917,0.769,0.714,50.8,1,1
2009-2010,West,43,30,9,95,36,21,15,0.579,2.89,2.78,1.08,18.1,80.2,27.9,32.1,0.65,0.405,0.758,0.805,0.5,0.527,47.7,COLORADO,6,2,4,2,1.83,3.17,0.75,13.3,80.8,24.8,40.8,0.667,0,0,1,1,0.2,46.2,1,0
2009-2010,West,32,35,15,79,30,18,12,0.482,2.61,3.04,0.82,18.2,81.7,28.5,30.7,0.526,0.273,0.481,0.686,0.367,0.4,51,COLUMBUS,,,,,,,,,,,,,,,,,,,0,0
2009-2010,West,37,31,14,88,30,20,10,0.537,2.8,2.98,0.98,18.6,77.4,30.8,31.2,0.657,0.298,0.667,0.88,0.474,0.425,48.1,DALLAS,,,,,,,,,,,,,,,,,,,0,0
2009-2010,West,44,24,14,102,38,24,14,0.622,2.72,2.52,0.93,19.2,83.9,33.4,29.4,0.658,0.432,0.643,0.824,0.549,0.519,51.1,DETROIT,12,5,7,1,3.58,2.75,1.4,21,81.2,34.8,32.2,0.5,0.25,0.5,0.6,0.5,0.25,50,1,0
2009-2010,West,27,47,8,62,19,14,5,0.378,2.51,3.39,0.75,17.3,78,28.3,33.1,0.588,0.146,0.778,0.81,0.28,0.345,46.4,EDMONTON,,,,,,,,,,,,,,,,,,,0,0
2009-2010,East,32,37,13,77,26,14,12,0.47,2.46,2.85,0.9,14.2,79.4,28.4,34.1,0.462,0.326,0.6,0.7,0.444,0.393,49.9,FLORIDA,,,,,,,,,,,,,,,,,,,0,0
2009-2010,West,46,27,9,101,36,17,19,0.616,2.82,2.57,1.07,20.8,80.3,29.1,27.6,0.739,0.333,0.815,0.935,0.513,0.571,50.6,LOS ANGELES,6,2,4,1,3,4.17,0.41,38.5,75,27.7,31.2,0,0.667,0,0.333,0.5,0.25,45,1,0
2009-2010,West,38,36,8,84,33,22,11,0.512,2.61,2.92,0.88,19.1,82.7,27.6,29.5,0.706,0.292,0.741,0.875,0.438,0.489,52.2,MINNESOTA,,,,,,,,,,,,,,,,,,,0,0
2009-2010,East,39,33,10,88,32,16,16,0.537,2.56,2.66,0.9,21.8,83,28.6,32.1,0.718,0.256,0.633,0.839,0.457,0.452,49.7,MONTREAL,19,9,10,1,2.42,3,0.91,16.4,84.5,26.7,33.7,0.727,0.125,0.833,0.875,0.143,0.667,47.1,1,0
2009-2010,West,47,29,6,100,39,18,21,0.61,2.65,2.7,1.05,16.4,77.1,30.6,29.2,0.8,0.404,0.958,0.871,0.585,0.553,49.2,NASHVILLE,6,2,4,1,2.5,2.83,0.91,3.7,82.6,27.7,30,0.5,0.25,0,1,0.5,0,47.2,1,0
2009-2010,East,48,27,7,103,42,26,16,0.628,2.63,2.27,1.09,18.7,82.8,30,27,0.733,0.405,0.813,0.943,0.542,0.7,49.4,NEW JERSEY,5,1,4,1,1.8,3,0.5,12.5,72.4,27,25.2,0.333,0,0,0,0.25,0,50.4,1,0
2009-2010,East,34,37,11,79,26,16,10,0.482,2.61,3.15,0.83,16,76.3,30.4,31.9,0.641,0.209,0.6,0.794,0.405,0.462,48.2,NY ISLANDERS,,,,,,,,,,,,,,,,,,,0,0
2009-2010,East,38,33,11,87,35,18,17,0.53,2.67,2.61,1.06,18.3,84.3,29.6,29.9,0.618,0.354,0.692,0.842,0.447,0.463,49.2,NY RANGERS,,,,,,,,,,,,,,,,,,,0,0
2009-2010,East,44,32,6,94,39,23,16,0.573,2.68,2.84,0.88,16.9,84.3,29.7,28.5,0.756,0.317,0.84,0.966,0.565,0.548,49.3,OTTAWA,6,2,4,1,3.17,4,0.75,31.8,75,28.8,36.7,0.333,0.333,0.667,0.5,1,0.2,52.5,1,0
2009-2010,East,41,35,6,88,37,21,16,0.537,2.83,2.71,0.97,21.4,83,31.6,28.6,0.673,0.242,0.786,0.882,0.449,0.556,50.1,PHILADELPHIA,23,14,9,2,3.3,2.65,1.15,21.9,85.3,28.1,29.2,0.818,0.417,0.778,1,0.714,0.6,47.9,1,0
2009-2010,West,50,25,7,107,36,23,13,0.652,2.57,2.39,1.15,14.6,84.5,30.5,29.6,0.857,0.35,0.958,0.917,0.55,0.722,50,PHOENIX,7,3,4,0,2.57,3.71,0.73,18.2,76.5,31.6,36.7,0.667,0.25,0.5,1,0.5,0.4,48.3,1,0
2009-2010,East,47,28,7,101,39,22,17,0.616,3.04,2.87,1.07,17.2,84.1,32.8,28.7,0.683,0.463,0.769,0.848,0.571,0.517,49.3,PITTSBURGH,13,7,6,1,3.23,2.92,0.96,26.3,72.1,34.2,26.6,0.667,0.429,0.8,0.8,0.5,0.667,48.6,1,0
2009-2010,West,51,20,11,113,44,24,20,0.689,3.13,2.55,1.23,21,85,31.7,31.4,0.795,0.465,0.821,0.878,0.59,0.692,55.6,SAN JOSE,15,8,7,2,2.73,2.73,0.8,19.7,81.6,36.5,29.1,0.571,0.5,0.6,1,0.6,0.4,52.7,1,0
2009-2010,West,40,32,10,90,33,16,17,0.549,2.66,2.66,0.99,16.9,86.8,29.8,30.2,0.521,0.441,0.625,0.758,0.475,0.5,48.8,ST LOUIS,,,,,,,,,,,,,,,,,,,0,0
2009-2010,East,34,36,12,80,30,17,13,0.488,2.6,3.08,0.83,19.3,80.1,28.9,31.4,0.611,0.261,0.667,0.828,0.357,0.44,51.5,TAMPA BAY,,,,,,,,,,,,,,,,,,,0,0
2009-2010,East,30,38,14,74,26,15,11,0.451,2.56,3.21,0.94,14,74.6,32.6,29.8,0.6,0.231,0.632,0.818,0.383,0.357,50.8,TORONTO,,,,,,,,,,,,,,,,,,,0,0
2009-2010,West,49,28,5,103,45,29,16,0.628,3.27,2.66,1.24,20.9,81.6,30.9,29.5,0.795,0.419,0.839,0.97,0.5,0.719,51.4,VANCOUVER,12,6,6,1,3.58,3.42,1.53,22,68.5,29.8,30.9,0.5,0.5,0.6,0.75,0.75,0.375,54.1,1,0
2009-2010,East,54,15,13,121,49,27,22,0.738,3.82,2.77,1.57,25.2,78.8,32.8,30.9,0.731,0.533,0.718,0.889,0.674,0.649,51.5,WASHINGTON,7,3,4,1,3.14,2.86,1.31,3,80,41.7,27.7,1,0.2,0,1,0.333,1,57.1,1,0
2010-2011,West,47,30,5,99,43,25,18,0.604,2.87,2.84,0.89,23.5,81.3,28.5,32.3,0.739,0.361,0.893,0.909,0.406,0.667,47.7,ANAHEIM,6,2,4,1,3.33,3.67,0.62,36.4,77.8,27.2,31.7,0.667,0,1,1,1,0.2,46.3,1,0
2010-2011,East,34,36,12,80,29,14,15,0.488,2.66,3.2,0.86,18.3,77.5,31.5,32.2,0.489,0.324,0.5,0.741,0.4,0.419,48.7,WINNIPEG(ATLANTA),,,,,,,,,,,,,,,,,,,0,0
2010-2011,East,46,25,11,103,44,22,22,0.628,2.98,2.3,1.4,16.2,82.6,32.9,32.7,0.714,0.4,0.8,0.882,0.512,0.595,51.9,BOSTON,25,16,9,1,3.24,2.12,1.82,11.4,84.4,31.9,34,0.923,0.333,0.818,0.909,0.444,0.75,52,1,1
2010-2011,East,43,29,10,96,38,20,18,0.585,2.93,2.78,1.14,19.4,83,32.8,30.7,0.658,0.409,0.69,0.833,0.435,0.629,47.7,BUFFALO,7,3,4,1,2.57,3.14,0.62,22.6,85.7,30.3,35.9,0.75,0,0.667,0.667,0,0.5,52.7,1,0
2010-2011,West,41,29,12,94,32,22,10,0.573,2.94,2.8,1.09,19.5,81.2,30.5,28.5,0.718,0.302,0.731,0.833,0.521,0.433,48.2,CALGARY,,,,,,,,,,,,,,,,,,,0,0
2010-2011,East,40,31,11,91,35,20,15,0.555,2.82,2.85,0.99,15.9,81.2,30.7,33.2,0.757,0.267,0.95,0.964,0.393,0.529,44.6,CAROLINA,,,,,,,,,,,,,,,,,,,0,0
2010-2011,West,44,29,9,97,38,20,18,0.591,3.07,2.68,1.15,23.1,79.2,32.2,28.7,0.681,0.343,0.703,0.825,0.52,0.548,50.8,CHICAGO,7,3,4,1,3.14,2.29,1.27,20.7,77.8,30.9,31.1,0.667,0.25,0.5,1,0.5,0.4,51.9,1,0
2010-2011,West,30,44,8,68,24,15,9,0.415,2.7,3.5,0.88,18.5,76.1,29.2,31.8,0.545,0.245,0.714,0.944,0.276,0.426,50.6,COLORADO,,,,,,,,,,,,,,,,,,,0,0
2010-2011,West,34,35,13,81,29,12,17,0.494,2.56,3.05,0.88,14,80.2,30.6,29.8,0.611,0.261,0.773,0.826,0.419,0.417,51.2,COLUMBUS,,,,,,,,,,,,,,,,,,,0,0
2010-2011,West,42,29,11,95,37,19,18,0.579,2.71,2.76,1,18,80.1,27.7,30.5,0.821,0.233,0.897,0.889,0.625,0.478,50,DALLAS,,,,,,,,,,,,,,,,,,,0,0
2010-2011,West,47,25,10,104,43,21,22,0.634,3.13,2.89,1.02,22.3,82.3,33.6,30.7,0.732,0.415,0.8,0.875,0.563,0.563,51.9,DETROIT,11,7,4,2,3.27,2.54,1.53,18.6,76.1,35.2,33.1,0.8,0.5,0.75,0.667,0.714,0.5,49.5,1,0
2010-2011,West,25,45,12,62,23,11,12,0.378,2.33,3.17,0.74,14.5,77,26.7,31.7,0.563,0.14,0.75,0.682,0.182,0.375,44.2,EDMONTON,,,,,,,,,,,,,,,,,,,0,0
2010-2011,East,30,40,12,72,26,16,10,0.439,2.33,2.71,0.87,13.1,84.6,30.4,31.8,0.59,0.163,0.583,0.75,0.258,0.467,51.9,FLORIDA,,,,,,,,,,,,,,,,,,,0,0
2010-2011,West,46,30,6,98,36,20,16,0.598,2.55,2.39,1.05,16.1,85.5,28.8,27.9,0.72,0.313,0.731,0.963,0.5,0.618,51.1,LOS ANGELES,6,2,4,3,3.33,3.33,0.93,20.8,91.3,28.2,38.2,0.667,0,0.667,1,0,0.4,44.5,1,0
2010-2011,West,39,35,8,86,36,18,18,0.524,2.48,2.78,0.85,18.2,82.8,26.2,32,0.795,0.186,0.793,0.962,0.231,0.522,50.8,MINNESOTA,,,,,,,,,,,,,,,,,,,0,0
2010-2011,East,44,30,8,96,41,22,19,0.585,2.6,2.51,1.01,19.7,84.4,31.7,31,0.727,0.316,0.833,0.833,0.563,0.5,49,MONTREAL,7,3,4,3,2.43,2.43,0.67,22.2,100,32.7,34.7,0.75,0,0.75,1,0,0.75,46.9,1,0
2010-2011,West,44,27,11,99,38,22,16,0.604,2.6,2.32,1.16,15.2,84.9,28.8,30.6,0.698,0.359,0.694,0.795,0.588,0.478,50.2,NASHVILLE,12,6,6,1,2.75,2.83,1.33,14.6,70,29.5,29.5,0.8,0.286,0.75,1,0.714,0.2,49.4,1,0
2010-2011,East,38,39,5,81,35,20,15,0.494,2.08,2.52,0.8,14.4,83.4,28.6,26.2,0.692,0.256,0.76,0.917,0.386,0.545,51.2,NEW JERSEY,,,,,,,,,,,,,,,,,,,0,0
2010-2011,East,30,39,13,73,26,16,10,0.445,2.74,3.15,0.81,17.2,83.2,29.4,32,0.69,0.189,0.722,0.704,0.219,0.469,50.1,NY ISLANDERS,,,,,,,,,,,,,,,,,,,0,0
2010-2011,East,44,33,5,93,35,18,17,0.567,2.73,2.38,1.09,16.9,83.7,29.9,29.4,0.683,0.39,0.739,1,0.5,0.618,47.7,NY RANGERS,5,1,4,2,1.6,2.6,0.6,5,81.2,29.6,31.2,0.333,0,0,0,0.5,0,49.3,1,0
2010-2011,East,32,40,10,74,30,16,14,0.451,2.32,2.99,0.73,17.5,83.7,29,31.2,0.632,0.182,0.667,0.862,0.324,0.442,50.8,OTTAWA,,,,,,,,,,,,,,,,,,,0,0
2010-2011,East,47,23,12,106,44,22,22,0.646,3.12,2.63,1.21,16.6,82.8,31.8,30.1,0.68,0.406,0.735,0.864,0.548,0.571,50.3,PHILADELPHIA,11,4,7,2,2.64,3.46,0.73,14.3,80.8,36.4,31,0.75,0.143,1,1,0.333,0.5,46.9,1,0
2010-2011,West,43,26,13,99,38,18,20,0.604,2.76,2.68,1.17,15.9,78.4,30.3,32.6,0.738,0.3,0.72,0.889,0.48,0.577,51.5,PHOENIX,4,0,4,0,2.5,4.5,0.31,33.3,73.3,29.5,35,0,0,0,0,0,0,47.8,1,0
2010-2011,East,49,25,8,106,39,22,17,0.646,2.78,2.39,1.11,15.8,86.1,31.5,28.7,0.756,0.439,0.793,0.889,0.566,0.654,49.2,PITTSBURGH,7,3,4,0,2,3.14,1,2.9,70.4,36.7,25.7,0.75,0,1,1,0.429,0,49.7,1,0
2010-2011,West,48,25,9,105,43,23,20,0.64,2.96,2.54,1.16,23.5,79.6,34.5,28.9,0.744,0.41,0.773,0.806,0.583,0.55,53.7,SAN JOSE,18,9,9,1,2.83,3.22,0.89,19.2,76.3,36.9,31.6,0.636,0.286,0.667,0.714,0.545,0.429,53.2,1,0
2010-2011,West,38,33,11,87,34,21,13,0.53,2.88,2.78,1.02,18.6,81.7,30.2,27.7,0.587,0.306,0.567,0.839,0.392,0.6,47.3,ST LOUIS,,,,,,,,,,,,,,,,,,,0,0
2010-2011,East,46,25,11,103,40,22,18,0.628,2.94,2.85,0.99,20.5,83.8,31.8,28.7,0.627,0.452,0.724,0.872,0.51,0.633,50.4,TAMPA BAY,18,11,7,1,3.28,2.5,1.03,25.4,92.3,28.9,32.8,0.818,0.286,0.714,1,0.571,0.636,49.5,1,0
2010-2011,East,37,34,11,85,32,15,17,0.518,2.6,2.99,0.94,16,77.4,28.8,31,0.656,0.32,0.75,0.857,0.433,0.48,50.5,TORONTO,,,,,,,,,,,,,,,,,,,0,0
2010-2011,West,54,19,9,117,50,25,25,0.713,3.15,2.2,1.32,24.3,85.6,32,30.1,0.837,0.394,0.914,0.927,0.609,0.742,54.9,VANCOUVER,25,15,10,2,2.32,2.76,0.88,20.4,80.8,32.3,31.8,0.846,0.333,0.75,0.889,0.6,0.6,49.9,1,0
2010-2011,East,48,23,11,107,43,23,20,0.652,2.67,2.33,1.07,17.5,85.6,31.3,29,0.714,0.489,0.778,0.906,0.565,0.618,51.6,WASHINGTON,9,4,5,1,2.56,2.67,1.06,14.3,86.8,32.1,29.1,1,0.286,1,0.667,0.4,0.333,51,1,0
2011-2012,West,34,36,12,80,31,19,12,0.488,2.45,2.73,0.9,16.6,82,27.9,28.9,0.579,0.273,0.696,0.806,0.381,0.462,47.4,ANAHEIM,,,,,,,,,,,,,,,,,,,0,0
2011-2012,East,49,29,4,102,40,20,20,0.622,3.17,2.43,1.32,17.2,83.5,32.4,29.8,0.861,0.391,0.92,1,0.52,0.719,54.5,BOSTON,7,3,4,2,2.14,2.29,0.92,8.7,84.2,35.4,29.6,1,0.2,1,0,0.2,1,48.9,1,0
2011-2012,East,39,32,11,89,32,19,13,0.543,2.57,2.72,1.03,17,81.7,29.2,31.4,0.595,0.35,0.69,0.893,0.548,0.449,49.5,BUFFALO,,,,,,,,,,,,,,,,,,,0,0
2011-2012,East,37,29,16,90,34,22,12,0.549,2.43,2.65,0.89,17.7,84.3,27.5,30.8,0.61,0.293,0.692,0.844,0.478,0.418,46.2,CALGARY,,,,,,,,,,,,,,,,,,,0,0
2011-2012,West,33,33,16,82,32,19,13,0.5,2.58,2.89,0.84,16.7,80.6,30.5,32.4,0.561,0.244,0.533,0.69,0.5,0.348,50.7,CAROLINA,,,,,,,,,,,,,,,,,,,0,0
2011-2012,East,45,26,11,101,38,23,15,0.616,2.94,2.82,1.01,15.2,78.1,31.5,28.6,0.722,0.413,0.815,0.886,0.538,0.6,50.6,CHICAGO,6,2,4,3,2,2.83,0.91,5.3,79,40.2,26.5,0.333,0.333,0,0,0.333,0,49.3,1,0
2011-2012,West,41,35,6,88,32,18,14,0.537,2.43,2.66,0.93,18.4,83,31.5,29.6,0.676,0.375,0.808,0.821,0.422,0.595,51.6,COLORADO,,,,,,,,,,,,,,,,,,,0,0
2011-2012,West,29,46,7,65,25,16,9,0.396,2.42,3.13,0.8,15.5,76.6,29.9,30.9,0.575,0.143,0.818,0.742,0.265,0.422,50.9,COLUMBUS,,,,,,,,,,,,,,,,,,,0,0
2011-2012,West,42,35,5,89,35,18,17,0.543,2.49,2.66,0.98,13.5,82.8,28.2,30.8,0.732,0.293,0.8,0.929,0.529,0.5,49.1,DALLAS,,,,,,,,,,,,,,,,,,,0,0
2011-2012,West,48,28,6,102,39,27,12,0.622,2.92,2.44,1.44,16.1,81.8,32.2,27,0.727,0.421,0.839,0.931,0.577,0.615,51.6,DETROIT,5,1,4,0,1.8,2.6,0.36,17.4,90.9,32,23.2,1,0,1,1,0,0.5,49.8,1,0
2011-2012,West,32,40,10,74,27,15,12,0.451,2.52,2.83,0.91,20.6,82.4,26.7,30.7,0.575,0.214,0.571,0.828,0.4,0.373,47.7,EDMONTON,,,,,,,,,,,,,,,,,,,0,0
2011-2012,West,38,26,18,94,32,18,14,0.573,2.4,2.63,0.88,18.5,79.5,29.7,30.5,0.641,0.302,0.667,0.727,0.447,0.465,50.6,FLORIDA,7,3,4,2,2.43,2.57,0.46,33.3,80,27.9,31.9,1,0.2,1,1,0.667,0.25,54.4,1,0
2011-2012,East,40,27,15,95,34,19,15,0.579,2.29,2.07,0.98,17,87,30.6,27.4,0.711,0.216,0.8,0.824,0.49,0.5,51.5,LOS ANGELES,20,16,4,0,2.85,1.5,1.52,12.8,92.1,30.6,27,0.917,0.625,0.889,1,0.75,0.857,49.7,1,1
2011-2012,West,35,36,11,81,24,14,10,0.494,2.02,2.65,0.76,15.1,82.1,26.5,31.4,0.5,0.385,0.619,0.769,0.375,0.471,51.2,MINNESOTA,,,,,,,,,,,,,,,,,,,0,0
2011-2012,West,31,35,16,78,26,13,13,0.476,2.52,2.61,0.95,14.3,88.6,28.5,29.7,0.488,0.268,0.556,0.727,0.344,0.362,48.3,MONTREAL,,,,,,,,,,,,,,,,,,,0,0
2011-2012,East,48,26,8,104,43,23,20,0.634,2.83,2.5,1.05,21.6,83.6,27.6,30.8,0.833,0.325,0.815,0.857,0.625,0.593,49,NASHVILLE,10,5,5,1,2.2,2.1,1.13,12.2,85.7,27.5,29.6,1,0,1,1,0.2,0.8,49,1,0
2011-2012,West,48,28,6,102,36,16,20,0.622,2.63,2.5,0.93,17.2,89.6,27.5,26.8,0.727,0.421,0.769,0.853,0.571,0.545,47.1,NEW JERSEY,24,14,10,3,2.46,2.42,1.33,15.3,73.2,28.4,27,0.833,0.333,0.833,1,0.714,0.4,47.2,1,0
